judge_id,row_id,sample_id,method,method_family,model,preset,dataset,target_kind,intended_source_surface,intended_target_surface,quant_pred,adversarial_pred,reference,clean_pred,budget_type,budget_value,is_targeted,smash_step_accepted,is_overlap,packet_version,source_run_dir,source_jsonl,auto_decision_type
c01_0001,1,mix_004,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,60,70,Brightwave analytics did not report 60% growth in the update.,Brightwave analytics did not report 70% growth in the update.,BrightWave Analytics did not report 60 percent growth in the update.,Brightwave analytics did not report 60% growth in the update.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_004_WDL2_smash_masked.jsonl,,
c01_0002,2,mix_008,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,92,82,North Lake University did not measure 92 BPM during the fitness test.,North Lake University did not measure 82 BPM during the fitness test.,Northlake University did not measure 92 bpm during the fitness test.,North Lake University did not measure 92 BPM during the fitness test.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_008_WDL2_smash_masked.jsonl,,
c01_0003,3,mix_014,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,50,60,Keystone Airport wasn't delayed by 50 minutes after the storm cleared.,Keystone Airport wasn't delayed by 60 minutes after the storm cleared.,Keystone Airport wasn't delayed by 50 minutes after the storm cleared.,Keystone Airport wasn't delayed by 50 minutes after the storm cleared.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_014_WDL2_smash_masked.jsonl,,
c01_0004,4,mix_022,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,30,40,Camden Lee didn't wait 30 seconds before pressing the reset button.,Camden Lee didn't wait 40 seconds before pressing the reset button.,Camden Lee didn't wait 30 seconds before pressing the reset button.,Camden Lee didn't wait 30 seconds before pressing the reset button.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_022_WDL2_smash_masked.jsonl,,
c01_0005,5,mix_025,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,180,280,Alina Kwon would not set 180 degrees on the oven for bread.,Alina Kwon would not set 280 on the oven for bread.,Elena Kwon would not set 180 degrees on the oven for bread.,Alina Kwon would not set 180 degrees on the oven for bread.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_025_WDL2_smash_masked.jsonl,,
c01_0006,6,num_002,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,38,48,The thermometer read 38 degrees Celsius during the afternoon check.,The thermometer read 48 degrees celsius during the afternoon check.,The thermometer read 38 degrees Celsius during the afternoon check.,The thermometer read 38 degrees Celsius during the afternoon check.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_002_WDL2_smash_masked.jsonl,,
c01_0007,7,num_004,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,92,82,His heart rate stayed at 92 BPM through the EZ Jog.,His heart rate stayed at 82 BPM through the EZ Jog.,His heart rate stayed at 92 bpm through the easy jog.,His heart rate stayed at 92 BPM through the EZ Jog.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_004_WDL2_smash_masked.jsonl,,
c01_0008,8,num_007,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,180,280,Set the oven to 180 degrees and bake until the top browns.,Set the oven to 280 180 degrees and bake until the top browns.,Set the oven to 180 degrees and bake until the top browns.,Set the oven to 180 degrees and bake until the top browns.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_007_WDL2_smash_masked.jsonl,,
c01_0009,9,num_009,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,45,55,We spent $45 on groceries at the corner market.,We spent $55 on groceries at the corner market.,We spent 45 dollars on groceries at the corner market.,We spent $45 on groceries at the corner market.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_009_WDL2_smash_masked.jsonl,,
c01_0010,10,num_012,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,30,40,I waited 30 seconds for the device to restart fully.,I waited 40 seconds for the device to restart fully.,I waited 30 seconds for the device to restart fully.,I waited 30 seconds for the device to restart fully.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_012_WDL2_smash_masked.jsonl,,
c01_0011,11,num_019,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,400,500,She ran 400 meters around the track at dusk.,She ran 500 meters around the track at dusk.,She ran 400 meters around the track at dusk.,She ran 400 meters around the track at dusk.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_019_WDL2_smash_masked.jsonl,,
c01_0012,12,ent_001,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,ent,Avery Chen,Dylan Brown,Avery Chen joined the call and greeted everyone warmly.,Avery Chin joined the call and greeted everyone warmly.,Avery Chen joined the call and greeted everyone warmly.,Avery Chen joined the call and greeted everyone warmly.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_001_WDL2_smash_masked.jsonl,,
c01_0013,13,ent_006,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,ent,Orion Books,Silver Pine,The package from Orion Books arrived and looked neatly wrapped.,The package from Orionbooks arrived and looked neatly wrapped.,The package from Orion Books arrived and looked neatly wrapped.,The package from Orion Books arrived and looked neatly wrapped.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_006_WDL2_smash_masked.jsonl,,
c01_0014,14,ent_007,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,ent,Dylan Park,Dylan Brown,Dylan Park emailed the draft and asked for quick feedback.,Dylan Parke emailed the draft and asked for quick feedback.,Dylan Park emailed the draft and asked for quick feedback.,Dylan Park emailed the draft and asked for quick feedback.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_007_WDL2_smash_masked.jsonl,,
c01_0015,15,ent_010,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,ent,Harborview Studios,Helix Robotics,The meeting at Harborview Studios ended with a short photo session.,The meeting at Harbourview Studios ended with a short photo session.,The meeting at Harborview Studios ended with a short photo session.,The meeting at Harborview Studios ended with a short photo session.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_010_WDL2_smash_masked.jsonl,,
c01_0016,16,ent_012,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,ent,Sofia Ramirez,Evelyn Anderson,Sofia Ramirez opened the window and pointed toward the lake.,Sofia Ramírez opened the window and pointed toward the lake.,Sofia Ramirez opened the window and pointed toward the lake.,Sofia Ramirez opened the window and pointed toward the lake.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_012_WDL2_smash_masked.jsonl,,
c01_0017,17,ent_020,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,ent,Lakeside Inn,Harborview Labs,I booked a room at Lakeside Inn for a quiet weekend.,I booked a room at Lakesside Inn for a quiet weekend.,I booked a room at Lakeside Inn for a quiet weekend.,I booked a room at Lakeside Inn for a quiet weekend.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_020_WDL2_smash_masked.jsonl,,
