row_id,judge_id,sample_id,method,method_family,model,target_preset,strategy,dataset,budget,max_steps,seed,branch,bucket,is_overlap,packet_version,target_kind,intended_source_surface,intended_target_surface,quant_pred,adversarial_pred,reference,clean_pred,sample_file,auto_decision_type,auto_decision_reason,cell_id
1,c01_0001,mix_004,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,60,70,Brightwave analytics did not report 60% growth in the update.,Brightwave analytics did not report 70% growth in the update.,BrightWave Analytics did not report 60 percent growth in the update.,Brightwave analytics did not report 60% growth in the update.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_004_WDL2_smash_masked.jsonl,,,1
2,c01_0002,mix_008,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,92,82,North Lake University did not measure 92 BPM during the fitness test.,North Lake University did not measure 82 BPM during the fitness test.,Northlake University did not measure 92 bpm during the fitness test.,North Lake University did not measure 92 BPM during the fitness test.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_008_WDL2_smash_masked.jsonl,,,1
3,c01_0003,mix_014,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,50,60,Keystone Airport wasn't delayed by 50 minutes after the storm cleared.,Keystone Airport wasn't delayed by 60 minutes after the storm cleared.,Keystone Airport wasn't delayed by 50 minutes after the storm cleared.,Keystone Airport wasn't delayed by 50 minutes after the storm cleared.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_014_WDL2_smash_masked.jsonl,,,1
4,c01_0004,mix_022,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,30,40,Camden Lee didn't wait 30 seconds before pressing the reset button.,Camden Lee didn't wait 40 seconds before pressing the reset button.,Camden Lee didn't wait 30 seconds before pressing the reset button.,Camden Lee didn't wait 30 seconds before pressing the reset button.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_022_WDL2_smash_masked.jsonl,,,1
5,c01_0005,mix_025,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,180,280,Alina Kwon would not set 180 degrees on the oven for bread.,Alina Kwon would not set 280 on the oven for bread.,Elena Kwon would not set 180 degrees on the oven for bread.,Alina Kwon would not set 180 degrees on the oven for bread.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_025_WDL2_smash_masked.jsonl,,,1
6,c01_0006,num_002,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,38,48,The thermometer read 38 degrees Celsius during the afternoon check.,The thermometer read 48 degrees celsius during the afternoon check.,The thermometer read 38 degrees Celsius during the afternoon check.,The thermometer read 38 degrees Celsius during the afternoon check.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_002_WDL2_smash_masked.jsonl,,,1
7,c01_0007,num_004,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,92,82,His heart rate stayed at 92 BPM through the EZ Jog.,His heart rate stayed at 82 BPM through the EZ Jog.,His heart rate stayed at 92 bpm through the easy jog.,His heart rate stayed at 92 BPM through the EZ Jog.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_004_WDL2_smash_masked.jsonl,,,1
8,c01_0008,num_007,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,180,280,Set the oven to 180 degrees and bake until the top browns.,Set the oven to 280 180 degrees and bake until the top browns.,Set the oven to 180 degrees and bake until the top browns.,Set the oven to 180 degrees and bake until the top browns.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_007_WDL2_smash_masked.jsonl,,,1
9,c01_0009,num_009,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,45,55,We spent $45 on groceries at the corner market.,We spent $55 on groceries at the corner market.,We spent 45 dollars on groceries at the corner market.,We spent $45 on groceries at the corner market.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_009_WDL2_smash_masked.jsonl,,,1
10,c01_0010,num_012,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,30,40,I waited 30 seconds for the device to restart fully.,I waited 40 seconds for the device to restart fully.,I waited 30 seconds for the device to restart fully.,I waited 30 seconds for the device to restart fully.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_012_WDL2_smash_masked.jsonl,,,1
