judge_id,sample_id,sample_path,method,method_family,model,dataset,preset,preset_canonical,budget_type,budget_value,target_kind,intended_source_surface,intended_target_surface,intended_target_etype,reference,clean_pred,quant_pred,adversarial_pred,is_targeted,smash_step_accepted,source_run_dir,source_jsonl
V30001,mix_001,./datasets/synthetic/audio/mix_001.wav,smash_masked,SMASH,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,1,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_001_*.jsonl
V30002,mix_001,./datasets/synthetic/audio/mix_001.wav,pbs_ce,PBS,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen Did,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/pbs_ce/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/pbs_ce/20/new_WHISPER_pbs_ce_SYNTH_WDL2_b20_n100_tpw5000_seed42/mix_001_*.jsonl
V30003,mix_001,./datasets/synthetic/audio/mix_001.wav,pbs_ce_gated,PBS,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery and Avery did not take 5 mg of aspirin after lunch.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/pbs_ce_gated/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/pbs_ce_gated/20/new_WHISPER_pbs_ce_gated_SYNTH_WDL2_b20_n100_tpw5000_seed42/mix_001_*.jsonl
V30004,mix_001,./datasets/synthetic/audio/mix_001.wav,silentstriker_native,SilentStriker,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,k_per_module,10,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6,1,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_native/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_native/10/new_WHISPER_silentstriker_native_SYNTH_WDL2_b40_n100_tpw5000_seed42/mix_001_*.jsonl
V30005,mix_001,./datasets/synthetic/audio/mix_001.wav,silentstriker_ce,SilentStriker,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,k_per_module,10,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery Avery,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_ce/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_ce/10/new_WHISPER_silentstriker_ce_SYNTH_WDL2_b40_n100_tpw5000_seed42/mix_001_*.jsonl
V30006,mix_001,./datasets/synthetic/audio/mix_001.wav,silentstriker_ce_gated,SilentStriker,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,k_per_module,10,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_ce_gated/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_ce_gated/10/new_WHISPER_silentstriker_ce_gated_SYNTH_WDL2_b40_n100_tpw5000_seed42/mix_001_*.jsonl
V30007,mix_001,./datasets/synthetic/audio/mix_001.wav,urbf,URBF,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/urbf/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/urbf/20/new_WHISPER_urbf_SYNTH_WDL2_b20_n100_tpw5000_seed42/mix_001_*.jsonl
V30008,mix_001,./datasets/synthetic/audio/mix_001.wav,smash_masked,SMASH,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,1,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/smash_masked/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/smash_masked/20/new_SMT_masked_SYNTH_ALL_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_001_*.jsonl
V30009,mix_001,./datasets/synthetic/audio/mix_001.wav,pbs_ce,PBS,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen didn't take 5 mg of aspirin after lunch.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/pbs_ce/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/pbs_ce/20/new_SMT_pbs_ce_SYNTH_ALL_b20_n100_tpw5000_seed42/mix_001_*.jsonl
V30010,mix_001,./datasets/synthetic/audio/mix_001.wav,pbs_ce_gated,PBS,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen didn't take 5 mg of aspirin after lunch.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/pbs_ce_gated/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/pbs_ce_gated/20/new_SMT_pbs_ce_gated_SYNTH_ALL_b20_n100_tpw5000_seed42/mix_001_*.jsonl
